################## COMPONENT DAMAGE VALUES - START #########################
######## ENERGY
# Laser
@min_laser_s = 56
@max_laser_s = 152
@min_laser_m = 141
@max_laser_m = 381
@min_laser_l = 338
@max_laser_l = 914
# Autolaser
@min_autolaser_s = 53
@max_autolaser_s = 93
@min_autolaser_m = 132
@max_autolaser_m = 232
@min_autolaser_l = 318
@max_autolaser_l = 556
# Plasma
@min_plasma_s = 70
@max_plasma_s = 185
@min_plasma_m = 174
@max_plasma_m = 464
@min_plasma_l = 417
@max_plasma_l = 1113
# Disruptor
@min_disruptor_s = 1
@max_disruptor_s = 63
@min_disruptor_m = 1
@max_disruptor_m = 157
@min_disruptor_l = 1
@max_disruptor_l = 378
# Disruptor Lance
@min_disruptor_lance = 47
@max_disruptor_lance = 477
# Energy Cannon
@min_energy_cannon = 1550
@max_energy_cannon = 3458
# Energy Torp
@min_energy_torp = 596
@max_energy_torp = 1312
# PD
@min_pd_s = 13
@max_pd_s = 26
@min_pd_m = 26
@max_pd_m = 52
# Lance
@min_energy_lance = 2576
@max_energy_lance = 6439
# Perdition
@min_perdition = 16599
@max_perdition = 33084
# Emitter
@min_emitter = 868
@max_emitter = 8681
# T Emitter
@min_titan_emitter = 13737
@max_titan_emitter = 13737
######## KINETIC
# Gauss
@min_gauss_s = 53
@max_gauss_s = 152
@min_gauss_m = 132
@max_gauss_m = 381
@min_gauss_l = 318
@max_gauss_l = 914
# Autocannon
@min_autocannon_s = 43
@max_autocannon_s = 89
@min_autocannon_m = 108
@max_autocannon_m = 224
@min_autocannon_l = 258
@max_autocannon_l = 537
# Macro
@min_macrocannon = 199
@max_macrocannon = 378
# Artillery
@min_artillery = 835
@max_artillery = 2504
# Flak
@min_flak_s = 13
@max_flak_s = 26
@min_flak_m = 26
@max_flak_m = 52
# Mass Accelerator
@min_accelerator = 4054
@max_accelerator = 10255
# Titan Accelerator
@min_titan_accelerator = 21522
@max_titan_accelerator = 31481
######## EXPLOSIVE
# Missiles
@min_missile_s = 205
@max_missile_s = 325
@min_missile_m = 513
@max_missile_m = 812
# Torpedo
@min_torpedo = 1689
@max_torpedo = 2525
# Swarmer
@min_swarmer = 224
@max_swarmer = 306
# CMM
@min_ccm_s = 106
@max_ccm_s = 212
@min_ccm_m = 212
@max_ccm_m = 424
# Barrage
@min_barrage = 1709
@max_barrage = 1987
# XL
@min_xl_missile = 1240
@max_xl_missile = 3005
# T Missile
@min_t_missile = 25185
@max_t_missile = 41212
######## Strikecrafts
# Interceptors
@min_scouts = 7
@max_scouts = 13
# Fighters
@min_fighters = 23
@max_fighters = 66
# Bombers
@min_bombers = 828
@max_bombers = 994
# Gunships
@min_gunships = 662
@max_gunships = 1325
